term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(profession)[T.elementary school teacher],0.021428571428537,0.0110824013953199,0.053166323419256,-0.0002925361685064,0.0431496790255805,0.021428571428537,0.007720128919404,0.0055087187319102,0.0062973967904989,0.0365597460665751,0.0214285714200119,0.0114077097765179,0.060322518758531,-0.0009301288880486,0.0437872717280726,converged (default),0.06760279474327174,0.007185285302491565,0.07665986758896648
C(profession)[T.farmer],-0.0440476190475937,0.0112783413414935,9.402879519749454e-05,-0.0661527618822701,-0.0219424762129172,-0.0440476190475937,0.0083053697885972,1.135964294371708e-07,-0.0603258447115314,-0.027769393383656,-0.0440476190561762,0.0114077097765179,0.0001128246080922,-0.0664063193642369,-0.0216889187481156,converged (default),0.00014104319279624182,1.7039464415575622e-07,0.0001764692588108769
C(profession)[T.flight attendant],-0.0075396825396889,0.0106079177380871,0.4772330343477394,-0.0283308192573033,0.0132514541779255,-0.0075396825396889,0.0080026148510667,0.346114635940006,-0.023224519429925,0.0081451543505472,-0.0075396825482419,0.0114077097765179,0.5086580533461718,-0.0298983828563025,0.0148190177598187,converged (default),0.5402638124691389,0.3853504420951236,0.58543662743616
C(profession)[T.hairdresser],-0.0345238095237624,0.0106147511725541,0.0011441995506546,-0.0553283395268228,-0.0137192795207019,-0.0345238095237624,0.0079555443126972,1.4274806257429466e-05,-0.0501163898540614,-0.0189312291934634,-0.0345238095323655,0.0114077097765179,0.0024751935310362,-0.0568825098404262,-0.0121651092243049,converged (default),0.0016345707866494289,2.0392580367756383e-05,0.0035949239379335285
C(profession)[T.janitor],-0.1567460317460385,0.0113830463630577,3.85517143213282e-43,-0.1790563926519814,-0.1344356708400956,-0.1567460317460385,0.007952762679249,1.782558633920342e-86,-0.1723331601749609,-0.141158903317116,-0.1567460317545888,0.0114077097765179,5.8186267701715295e-43,-0.1791047320626494,-0.1343873314465281,converged (default),2.1028207811633564e-42,9.723047094110956e-86,3.549362329804633e-42
C(profession)[T.journalist],-0.1460317460318095,0.0119746777101962,3.3031725003880935e-34,-0.1695016830702687,-0.1225618089933504,-0.1460317460318095,0.0083353857592585,1.01724988780881e-68,-0.1623688019172044,-0.1296946901464147,-0.1460317460403017,0.0114077097765179,1.6155167057556721e-37,-0.1683904463483623,-0.123673045732241,converged (default),1.5245411540252739e-33,5.08624943904405e-68,7.580501465468924e-37
C(profession)[T.lawyer],-0.0345238095237476,0.0122908250370486,0.004970968966321,-0.0586133839366461,-0.0104342351108492,-0.0345238095237476,0.0090865031999434,0.0001450114517972,-0.0523330285410448,-0.0167145905064504,-0.0345238095323655,0.0114077097765179,0.0024751935310362,-0.0568825098404262,-0.0121651092243049,converged (default),0.006778594044983182,0.00019334860239626666,0.0035949239379335285
C(profession)[T.mechanic],-0.0904761904761978,0.0111721240472005,5.569240120410123e-16,-0.1123731512395247,-0.0685792297128709,-0.0904761904761978,0.007794216406055,3.7476976055519496e-31,-0.1057525739197768,-0.0751998070326188,-0.0904761904847474,0.0114077097765179,2.1713602559290807e-15,-0.1128348907928081,-0.0681174901766868,converged (default),2.0884650451537962e-15,1.124309281665585e-30,7.791351506569055e-15
C(profession)[T.paramedic],-0.0924603174603555,0.0116073996671533,1.6437650509727316e-15,-0.1152104027621384,-0.0697102321585726,-0.0924603174603555,0.008595796035366,5.525334425977877e-27,-0.1093077681081251,-0.0756128668125859,-0.0924603174688704,0.0114077097765179,5.271397251986664e-16,-0.1148190177769311,-0.0701016171608098,converged (default),5.479216836575772e-15,1.5069093889030575e-26,2.1437015491412435e-15
C(profession)[T.pharmacist],0.0297619047618074,0.0112161933978171,0.0079667335435274,0.0077785696584499,0.051745239865165,0.0297619047618074,0.0076491557656293,9.988360625258936e-05,0.014769834949037,0.0447539745745779,0.0297619047533462,0.0114077097765179,0.0090826087526232,0.0074032044452856,0.0521206050614068,converged (default),0.010622311391369868,0.00013620491761716732,0.012311980753555893
