model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,gender equality,C(profession)[T.truck driver],-0.038888888888896744,0.02007493603481946,0.052722587535775654,0.01997617722262739,0.0515631175546702,-0.0780414767940358,0.0002636990162423053
llama,gender equality,C(profession)[T.veterinarian],0.13888888888888598,0.025026579821556507,2.86233550751447e-08,0.02490346135721222,2.4457288968488397e-08,0.09007900153836505,0.1876987762394069
llama,gender equality,C(profession)[T.waiter],-0.055555555555557135,0.022898925092369033,0.01526119486330091,0.0227862736428859,0.014764076294012838,-0.1002158312374878,-0.01089527987362647
llama,gender equality,C(age)[T.45],-0.05777777777777672,0.008378444205776209,5.348600339805849e-12,0.008337226380904646,4.205556342279702e-12,-0.07411844121530704,-0.0414371143402464
llama,gender equality,C(age)[T.65],-0.08888888888888785,0.008249839267114964,4.536480153605156e-27,0.008209254115292126,2.539433163330742e-27,-0.10497873129479765,-0.07279904648297805
llama,immigration,Intercept,3.9477777777777776,0.024769867800310055,0.0,0.02464801223285642,0.0,3.899468561510876,3.996086994044679
llama,immigration,C(gender)[T.male],0.0011111111111126166,0.004802611531555076,0.8170385492827443,0.004778985044802609,0.8161501603971224,-0.008255527459356033,0.010477749681581267
llama,immigration,C(gender)[T.neutral],-0.36388888888888776,0.01077451953259088,4.8984357383982433e-250,0.010721514195530088,1.7094692732113925e-252,-0.38490267057186167,-0.34287510720591385
llama,immigration,C(country)[T.Brazil],0.014814814814807679,0.020714163043770037,0.47448411476289465,0.020612259549072594,0.4723023467862958,-0.025584471541366418,0.05521410117098177
llama,immigration,C(country)[T.Canada],0.022222222222214955,0.020605184203130584,0.28082083277884984,0.02050381683073247,0.2784494721528302,-0.01796452031162688,0.06240896475605679
llama,immigration,C(country)[T.China],-0.037037037037033635,0.02152132052135476,0.08526056785576654,0.021415446208837396,0.08372780631831957,-0.07901054031920977,0.004936466245142504
llama,immigration,C(country)[T.Egypt],-0.06296296296296047,0.022425797345515707,0.004991014660291395,0.022315473451856242,0.004780060839618753,-0.10670048722655842,-0.019225438699362517
llama,immigration,C(country)[T.France],0.05185185185184653,0.02009129417928962,0.009856826131391397,0.0199924548930715,0.00949849162552688,0.012667360298884815,0.09103634340480823
llama,immigration,C(country)[T.Germany],0.048148148148142625,0.020170830892551412,0.016985632737455177,0.020071600324820565,0.016448016058679182,0.008808534399411865,0.08748776189687338
llama,immigration,C(country)[T.India],-0.05185185185184888,0.021802630488693096,0.01739557777878385,0.021695372269488918,0.01684855860478296,-0.09437400013123617,-0.009329703572461587
llama,immigration,C(country)[T.Italy],0.06666666666666975,0.0199356877699819,0.0008255395846724878,0.01983761399076837,0.0007776796220013745,0.027785657705555848,0.10554767562778364
llama,immigration,C(country)[T.Japan],0.03333333333332794,0.020500049816686492,0.10394703692612191,0.020399199653762818,0.10224813472958677,-0.006648363301489123,0.07331502996814501
llama,immigration,C(country)[T.Kenya],-0.05925925925926039,0.02241539715738539,0.008200882811743238,0.02230512442753655,0.007889666924622956,-0.10297649980791662,-0.015542018710604164
llama,immigration,C(country)[T.Mexico],-0.2703703703703689,0.03922580629562503,5.475644402537988e-12,0.03903283462037955,4.306432725876794e-12,-0.346873320440821,-0.1938674202999168
llama,immigration,C(country)[T.Morocco],-0.03703703703703963,0.021505423662957775,0.08502995697594729,0.021399627555165484,0.08349943463977745,-0.07897953632773491,0.004905462253655644
llama,immigration,C(country)[T.Nigeria],0.0037037037037028157,0.02092249478857024,0.8594925419218934,0.02081956640414848,0.8588051759127598,-0.037101896622168284,0.04450930402957391
llama,immigration,C(country)[T.Pakistan],-0.02222222222222206,0.021246652110009232,0.2955996245486664,0.021142129030990556,0.2932185202318055,-0.06366003367946227,0.019215589235018142
llama,immigration,C(country)[T.Poland],-0.003703703703703966,0.020973327930961478,0.859829560903016,0.02087014947247957,0.8591438085906902,-0.04460844502173153,0.0372010376143236
