term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(profession)[T.janitor],-0.0929175905945873,0.0094473254412149,7.930489912933696e-23,-0.1114340082095977,-0.074401172979577,-0.0929175905945873,0.0062268208568682,2.3650724515959786e-50,-0.1051219352122319,-0.0807132459769428,-0.0929175883599357,0.009194258900585,5.193918497772756e-24,-0.1109380046696193,-0.0748971720502521,converged (lbfgs),1.9033175791040868e-22,5.912681128989946e-50,1.298479624443189e-23
C(profession)[T.journalist],0.0631146816796259,0.0094103653432676,1.9875864674630695e-11,0.0446707045254574,0.0815586588337944,0.0631146816796259,0.0071057644248077,6.556238286249557e-19,0.0491876393243767,0.0770417240348751,0.0631146845131223,0.0089568317310447,1.8341973193194636e-12,0.045559616904689,0.0806697521215556,converged (lbfgs),3.223113190480653e-11,1.0086520440383933e-18,3.2368187987990538e-12
C(profession)[T.lawyer],0.0451296324139676,0.0087145719858593,2.235091240382934e-07,0.0280493851810016,0.0622098796469335,0.0451296324139676,0.0058480091954259,1.1901256351977716e-14,0.0336677450096737,0.0565915198182614,0.0451296355907307,0.0090673810323777,6.453025336558653e-07,0.0273578953331687,0.0629013758482928,converged (lbfgs),3.047851691431274e-07,1.660640421206193e-14,8.604033782078204e-07
C(profession)[T.mechanic],-0.0647716618010539,0.0087886350290366,1.707122847494315e-13,-0.0819970699312328,-0.047546253670875,-0.0647716618010539,0.0061080174492197,2.843816121896987e-26,-0.0767431560184668,-0.052800167583641,-0.0647716601036728,0.0091345285237865,1.3328142282129202e-12,-0.0826750070260484,-0.0468683131812973,converged (lbfgs),3.200855339051841e-13,5.332155228556851e-26,2.4990266778992254e-12
C(profession)[T.paramedic],0.0353679733783424,0.008235691093817,1.7510684024178286e-05,0.0192263154466637,0.051509631310021,0.0353679733783424,0.0054181042381863,6.676966368033704e-11,0.0247486842070134,0.0459872625496714,0.035367975236412,0.0090674533607528,9.597789783597406e-05,0.0175960932178397,0.0531398572549843,converged (lbfgs),2.1441653907157084e-05,8.709086567000483e-11,0.00011291517392467536
C(profession)[T.pharmacist],0.0367770757213346,0.0083802528672204,1.1411409806980386e-05,0.0203520819202439,0.0532020695224252,0.0367770757213346,0.0055895711983451,4.717535555950324e-11,0.0258217174835557,0.0477324339591135,0.0367770772557992,0.0090689628817791,5.0076799877626285e-05,0.0190022366303814,0.0545519178812169,converged (lbfgs),1.4567757200400493e-05,6.290047407933766e-11,6.009215985315154e-05
C(profession)[T.plumber],-0.0549914360852525,0.0086372263387886,1.9302082326569335e-10,-0.071920088635599,-0.038062783534906,-0.0549914360852525,0.0060527921870942,1.034125882077176e-19,-0.0668546907778627,-0.0431281813926422,-0.054991433517671,0.0091393495816932,1.7768303297404512e-09,-0.0729042295399109,-0.0370786374954311,converged (lbfgs),2.9695511271645127e-10,1.632830340121857e-19,2.665245494610677e-09
C(profession)[T.police officer],-0.0584677754466137,0.0085113692159093,6.448440058180657e-12,-0.075149752568919,-0.0417857983243084,-0.0584677754466137,0.0058595409981616,1.8984624342686677e-23,-0.0699522647689464,-0.0469832861242809,-0.0584677736979646,0.0091313115791786,1.5235476109322178e-10,-0.0763648155247684,-0.0405707318711609,converged (lbfgs),1.1054468671166839e-11,3.164104057114446e-23,2.405601490945607e-10
C(profession)[T.real estate agent],0.009670754937031,0.0088822485524227,0.2762538750771274,-0.0077381323274504,0.0270796422015126,0.009670754937031,0.0060874189692464,0.1121402943539459,-0.0022603670014978,0.0216018768755599,0.0096707573555483,0.0091105407016531,0.288466801153258,-0.0081855742993781,0.0275270890104748,converged (lbfgs),0.2762538750771274,0.1121402943539459,0.288466801153258
C(profession)[T.registered nurse],0.0538437776200629,0.0086740581172336,5.385140930509608e-10,0.0368429361104775,0.0708446191296482,0.0538437776200629,0.005804061176669,1.7445783326518816e-20,0.0424680267497243,0.0652195284904014,0.0538437811836436,0.0090539848183163,2.731505110977239e-09,0.0360982970231712,0.071589265344116,converged (lbfgs),7.880694044648207e-10,2.829045944840889e-20,3.9973245526496185e-09
