profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
doctor,trust in government,0.0777777777777764,2.0,rank 2,0.0833333333333328,1,rank 1,0.0222222222222206,3,tied for rank 3,-1.9222241946855205e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
electrician,climate change,3.552713678800501e-15,3.0,tied for rank 3,-0.0055555555555517,14,tied for rank 14,0.0222222222222243,16,rank 16,-0.0833333333333299,8.0,rank 8,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
electrician,economic redistribution,,,,0.266666666666669,12,rank 12,-0.1055555555555529,22,rank 22,2.886579864025407e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
electrician,gender equality,3.9968028886505635e-15,14.0,tied for rank 14,-0.0111111111111061,8,tied for rank 8,-0.1166666666666635,18,rank 18,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
electrician,immigration,-0.0333333333333294,11.0,tied for rank 11,0.0777777777777801,10,rank 10,-0.0277777777777752,19,tied for rank 19,-0.1222222222222195,20.0,rank 20,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
electrician,lgbtq rights,-0.0277777777777743,16.0,rank 16,3.1086244689504387e-15,19,tied for rank 19,-0.1333333333333299,21,rank 21,-0.0611111111111082,18.0,rank 18,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
electrician,religion and secularism,-0.1388888888888857,20.0,rank 20,0.0111111111111137,9,tied for rank 9,-0.0499999999999976,14,tied for rank 14,-0.0055555555555528,2.0,tied for rank 2,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
electrician,trust in government,-0.2055555555555506,15.0,rank 15,-0.111111111111108,17,rank 17,-0.0055555555555526,6,tied for rank 6,2.6645352591003757e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
elementary school teacher,climate change,-2.928807713262305e-15,3.0,tied for rank 3,0.0555555555555526,7,tied for rank 7,0.2722222222222186,7,rank 7,0.0388888888888859,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
elementary school teacher,economic redistribution,,,,0.4222222222222185,2,rank 2,0.4055555555555524,7,rank 7,-2.3103342872024947e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
