country,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
Pakistan,climate change,1.9848962806672895e-16,3.0,tied for rank 3,0.0222222222222217,5,tied for rank 5,-0.0740740740740738,13,rank 13,-0.0222222222222217,7.0,rank 7,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Pakistan,economic redistribution,,,,-0.1111111111111105,11,rank 11,-0.0333333333333319,13,tied for rank 13,-0.0259259259259255,7.0,tied for rank 7,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Pakistan,gender equality,-0.185185185185183,14.0,rank 14,-0.1444444444444436,16,rank 16,-0.1777777777777776,16,tied for rank 16,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Pakistan,immigration,-0.022222222222222,10.0,rank 10,0.0222222222222214,9,tied for rank 9,-0.088888888888886,18,tied for rank 18,-0.1740740740740725,11.0,rank 11,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Pakistan,lgbtq rights,-0.5407407407407422,17.0,rank 17,-1.829629629629632,19,rank 19,-0.7074074074074086,19,rank 19,-0.851851851851853,20.0,rank 20,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Pakistan,religion and secularism,0.6370370370370402,3.0,rank 3,0.6740740740740764,2,rank 2,0.2592592592592608,1,rank 1,0.0185185185185191,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Pakistan,trust in government,-0.3111111111111099,17.0,rank 17,0.1074074074074087,8,tied for rank 8,-0.0148148148148142,9,tied for rank 9,-0.0111111111111104,5.0,tied for rank 5,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Poland,climate change,-6.782768791069317e-16,3.0,tied for rank 3,-0.1000000000000006,16,rank 16,-0.0407407407407402,12,tied for rank 12,-0.1037037037037037,15.0,rank 15,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Poland,economic redistribution,,,,-0.3703703703703703,18,rank 18,-0.0333333333333327,13,tied for rank 13,-0.0296296296296306,8.0,tied for rank 8,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Poland,gender equality,-0.0851851851851848,8.0,rank 8,-0.0444444444444456,11,rank 11,-0.1185185185185199,14,tied for rank 14,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Poland,immigration,-0.0037037037037039,9.0,rank 9,-0.0518518518518535,16,rank 16,-0.0925925925925908,19,rank 19,-0.2666666666666668,17.0,rank 17,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Poland,lgbtq rights,-0.133333333333335,9.0,rank 9,-0.848148148148151,11,rank 11,-0.1518518518518534,10,rank 10,-0.3296296296296312,11.0,rank 11,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Poland,religion and secularism,-0.0740740740740727,19.0,rank 19,0.1111111111111116,9,rank 9,0.0481481481481482,9,rank 9,0.0037037037037028,3.0,tied for rank 3,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Poland,trust in government,-0.0740740740740737,11.0,rank 11,0.0444444444444448,10,rank 10,-0.0037037037037044,8,tied for rank 8,0.0037037037037028,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
South Africa,climate change,-4.244537416146777e-16,3.0,tied for rank 3,0.1148148148148144,2,rank 2,0.1851851851851851,3,rank 3,-0.0037037037037035,5.0,tied for rank 5,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
South Africa,economic redistribution,,,,0.0074074074074078,3,rank 3,0.2851851851851856,1,rank 1,-6.284035791725985e-16,1.0,tied for rank 1,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
South Africa,gender equality,-0.0185185185185169,4.0,rank 4,-0.0037037037037039,5,rank 5,0.0703703703703697,2,rank 2,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
South Africa,immigration,-9.714451465470121e-17,8.0,tied for rank 8,-0.0148148148148159,13,rank 13,-0.0148148148148131,11,rank 11,-0.2925925925925922,18.0,rank 18,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
South Africa,lgbtq rights,-0.1074074074074096,6.0,rank 6,-0.5259259259259285,9,rank 9,-0.1111111111111126,8,rank 8,-0.2888888888888902,10.0,rank 10,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
South Africa,religion and secularism,0.1000000000000014,14.0,rank 14,0.1074074074074081,10,rank 10,0.0111111111111111,10,tied for rank 10,0.0185185185185181,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
South Africa,trust in government,-0.1592592592592591,12.0,rank 12,0.0222222222222229,14,rank 14,-0.0148148148148153,9,tied for rank 9,-0.0037037037037041,3.0,tied for rank 3,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
South Korea,climate change,-9.26342336171615e-16,3.0,tied for rank 3,-0.0111111111111124,11,rank 11,-0.040740740740741,12,tied for rank 12,0.003703703703703,3.0,rank 3,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
South Korea,economic redistribution,,,,-0.2444444444444438,15,rank 15,0.2,2,rank 2,-0.0296296296296308,8.0,tied for rank 8,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
South Korea,gender equality,-0.1222222222222197,9.0,rank 9,-0.0407407407407412,10,rank 10,-0.1222222222222219,15,rank 15,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
South Korea,immigration,-0.0888888888888899,15.0,rank 15,-0.0407407407407409,15,tied for rank 15,0.0185185185185197,9,rank 9,-0.2148148148148132,15.0,rank 15,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
South Korea,lgbtq rights,-0.1555555555555557,11.0,rank 11,-0.8999999999999959,12,rank 12,-0.2666666666666658,11,rank 11,-0.3592592592592584,12.0,rank 12,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
South Korea,religion and secularism,0.1629629629629621,13.0,rank 13,0.0259259259259239,13,tied for rank 13,-0.0037037037037055,13,tied for rank 13,0.0185185185185171,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
South Korea,trust in government,0.088888888888888,7.0,tied for rank 7,0.3222222222222214,5,rank 5,0.0185185185185172,3,tied for rank 3,0.0037037037037025,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Turkey,climate change,-1.7399066323668652e-15,3.0,tied for rank 3,-0.025925925925928,13,rank 13,-0.1037037037037045,14,rank 14,-0.0888888888888902,13.0,rank 13,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Turkey,economic redistribution,,,,-0.3592592592592603,17,rank 17,-0.018518518518518,11,rank 11,-0.0296296296296308,8.0,tied for rank 8,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Turkey,gender equality,-0.1814814814814803,13.0,rank 13,-0.0851851851851868,13,rank 13,-0.1777777777777793,16,tied for rank 16,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Turkey,immigration,-0.1222222222222234,16.0,rank 16,0.0148148148148122,10,tied for rank 10,-0.0777777777777763,17,rank 17,-0.1444444444444444,8.0,tied for rank 8,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Turkey,lgbtq rights,-0.229629629629632,14.0,rank 14,-1.0851851851851886,14,rank 14,-0.4592592592592611,14,rank 14,-0.4851851851851875,14.0,rank 14,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Turkey,religion and secularism,0.2629629629629643,8.0,rank 8,0.377777777777778,6,rank 6,0.2111111111111107,4,rank 4,0.0185185185185176,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Turkey,trust in government,-0.3037037037037035,16.0,rank 16,0.251851851851852,7,rank 7,-0.0037037037037046,8,tied for rank 8,-0.0074074074074084,4.0,rank 4,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
USA,climate change,-1.412064909445121e-15,3.0,tied for rank 3,-0.1814814814814835,17,rank 17,-0.022222222222223,11,rank 11,-0.1296296296296309,16.0,rank 16,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
USA,economic redistribution,,,,-0.685185185185188,20,rank 20,-0.0703703703703704,15,rank 15,-0.0259259259259274,7.0,tied for rank 7,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
USA,gender equality,0.0222222222222227,2.0,rank 2,-0.0962962962962979,14,rank 14,-0.0444444444444451,10,rank 10,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
USA,immigration,-0.1481481481481494,17.0,rank 17,-0.288888888888892,17,rank 17,0.1555555555555568,3,rank 3,-0.137037037037038,7.0,tied for rank 7,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
USA,lgbtq rights,-0.0444444444444458,3.0,tied for rank 3,-0.5074074074074115,8,rank 8,0.0037037037037013,5,tied for rank 5,-0.1333333333333357,5.0,rank 5,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
USA,religion and secularism,0.0481481481481485,15.0,rank 15,-0.0111111111111116,16,rank 16,0.0111111111111106,10,tied for rank 10,-0.0037037037037048,5.0,rank 5,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
USA,trust in government,0.2629629629629639,5.0,rank 5,0.2888888888888892,6,rank 6,0.0222222222222211,2,rank 2,0.0037037037037024,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
